"lemma","synset","definition","lexicalform","verbforms","lemfreq"
"fell","fell.v.01","cause to fall by or as if by delivering a blow","verb.contact","['fell', 'felled', 'felling']",3575
"deserve","deserve.v.01","be worthy or deserving","verb.stative","['deserve', 'deserves', 'deserved', 'merited']",3545
"breathe","breathe.v.01","draw air into, and expel out of, the lungs","verb.body","['breathe', 'breathing', 'breathes', 'breathed']",3474
"waste","waste.v.01","spend thoughtlessly; throw away","verb.possession","['waste', 'wasting', 'wasted', 'squander', 'squandered', 'wastes', 'squandering', 'squanders']",3467
"calm","calm.v.01","make calm or still","verb.emotion","['calm', 'calmed', 'calms', 'calming', 'tranquilize', 'stilled', 'tranquilized', 'tranquillise', 'stilling', 'tranquillising', 'tranquillize']",3464
"settle","settle.v.01","settle into a position, usually on a surface or ground","verb.motion","['settle', 'settled', 'settling', 'settles']",3457
"blame","blame.v.01","put or pin the blame on","verb.communication","['blame', 'blaming', 'blamed', 'blames', 'faulted']",3406
"remind","remind.v.01","put in the mind of someone","verb.cognition","['remind', 'reminds', 'reminded', 'reminding']",3392
"assume","assume.v.01","take to be the case or to be true; accept without verification or proof","verb.cognition","['assume', 'assuming', 'assumed', 'presume', 'assumes', 'presumed', 'presuming', 'presumes']",3371
"discuss","discourse.v.01","to consider or examine in speech or writing","verb.communication","['discuss', 'discussed', 'discussing', 'discusses']",3349
"disappeared","disappear.v.01","get lost, as without warning or explanation","verb.change","['disappeared', 'disappear', 'vanished', 'disappears', 'vanish', 'disappearing', 'vanishes']",3293
"planning","plan.v.01","have the will and intention to carry out some action","verb.cognition","['planning', 'planned']",3225
"pretend","feign.v.01","make believe with the intent to deceive","verb.communication","['pretend', 'pretending', 'pretended', 'pretends', 'feign', 'feigning', 'dissemble', 'dissembling', 'feigned', 'feigns', 'dissembled']",3173
"dare","make_bold.v.01","take upon oneself; act presumptuously, without permission","verb.social","['dare', 'dared', 'dares']",3148
"roll","roll.v.01","move by turning over or rotating","verb.motion","['roll', 'rolling', 'rolled']",3135
"heading","head.v.01","to go or travel towards","verb.motion","['heading', 'headed']",3095
"failed","fail.v.01","fail to do something; leave something undone","verb.social","['failed', 'fail', 'fails', 'failing']",3089
"dig","dig.v.01","turn up, loosen, or remove earth","verb.contact","['dig', 'dug', 'digging', 'delve', 'delving', 'delves', 'delved']",3085
"create","make.v.03","make or cause to be or to become","verb.creation","['create', 'created', 'creating', 'creates']",3067
