SID,Cue,Character,Category,Recall
SID000791,MattSaracen,LylaGarrity,Character,0
SID000791,MattSaracen,MattSaracen,Character,0
SID000791,MattSaracen,SmashWilliams,Character,0
SID000791,MattSaracen,TamiTaylor,Character,0
SID000791,MattSaracen,TimRiggins,Character,0
SID000791,MattSaracen,TyraCollette,Character,0
SID000791,Outgoing,BuddyGarrity,Trait,0
SID000791,Outgoing,CoachTaylor,Trait,0
SID000791,Outgoing,JasonStreet,Trait,0
SID000791,Outgoing,JulieTaylor,Trait,0
SID000791,Outgoing,LandryClarke,Trait,0
SID000791,Outgoing,LylaGarrity,Trait,1
SID000791,Outgoing,MattSaracen,Trait,0
SID000791,Outgoing,SmashWilliams,Trait,0
SID000791,Outgoing,TamiTaylor,Trait,0
SID000791,Outgoing,TimRiggins,Trait,0
SID000791,Outgoing,TyraCollette,Trait,0
SID000791,Romance,BuddyGarrity,Action,0
SID000791,Romance,CoachTaylor,Action,5
SID000791,Romance,JasonStreet,Action,4
SID000791,Romance,JulieTaylor,Action,1
SID000791,Romance,LandryClarke,Action,0
SID000791,Romance,LylaGarrity,Action,3
SID000791,Romance,MattSaracen,Action,2
SID000791,Romance,SmashWilliams,Action,0
SID000791,Romance,TamiTaylor,Action,6
SID000791,Romance,TimRiggins,Action,8
SID000791,Romance,TyraCollette,Action,7
SID000791,School,BuddyGarrity,Place,0
SID000791,School,CoachTaylor,Place,0
SID000791,School,JasonStreet,Place,2
SID000791,School,JulieTaylor,Place,0
SID000791,School,LandryClarke,Place,5
SID000791,School,LylaGarrity,Place,3
SID000791,School,MattSaracen,Place,1
SID000791,School,SmashWilliams,Place,0
SID000791,School,TamiTaylor,Place,0
SID000791,School,TimRiggins,Place,0
SID000791,School,TyraCollette,Place,4
SID000791,SmashWilliams,BuddyGarrity,Character,2
SID000791,SmashWilliams,CoachTaylor,Character,1
SID000791,SmashWilliams,JasonStreet,Character,4
SID000791,SmashWilliams,JulieTaylor,Character,0
SID000791,SmashWilliams,LandryClarke,Character,0
SID000791,SmashWilliams,LylaGarrity,Character,0
SID000791,SmashWilliams,MattSaracen,Character,3
SID000791,SmashWilliams,SmashWilliams,Character,0
SID000791,SmashWilliams,TamiTaylor,Character,0
SID000791,SmashWilliams,TimRiggins,Character,0
SID000791,SmashWilliams,TyraCollette,Character,0
SID000791,SupportAdviseComfort,BuddyGarrity,Action,3
SID000791,SupportAdviseComfort,CoachTaylor,Action,1
SID000791,SupportAdviseComfort,JasonStreet,Action,6
SID000791,SupportAdviseComfort,JulieTaylor,Action,0
SID000791,SupportAdviseComfort,LandryClarke,Action,0
SID000791,SupportAdviseComfort,LylaGarrity,Action,5
SID000791,SupportAdviseComfort,MattSaracen,Action,2
SID000791,SupportAdviseComfort,SmashWilliams,Action,0
SID000791,SupportAdviseComfort,TamiTaylor,Action,4
SID000791,SupportAdviseComfort,TimRiggins,Action,0
SID000791,SupportAdviseComfort,TyraCollette,Action,0
SID000791,TamiTaylor,BuddyGarrity,Character,6
SID000791,TamiTaylor,CoachTaylor,Character,1
SID000791,TamiTaylor,JasonStreet,Character,4
SID000791,TamiTaylor,JulieTaylor,Character,2
